date,quarantine level
2020-03-18,Emergency Period
2020-03-19,Emergency Period
2020-03-20,Emergency Period
2020-03-21,Emergency Period
2020-03-22,Emergency Period
2020-03-23,Emergency Period
2020-03-24,Emergency Period
2020-03-25,Emergency Period
2020-03-26,Emergency Period
2020-03-27,Emergency Period
2020-03-28,Emergency Period
2020-03-29,Emergency Period
2020-03-30,Emergency Period
2020-03-31,Emergency Period
2020-04-01,Emergency Period
2020-04-02,Emergency Period
2020-04-03,Emergency Period
2020-04-04,Emergency Period
2020-04-05,Emergency Period
2020-04-06,Emergency Period
2020-04-07,Emergency Period
2020-04-08,Emergency Period
2020-04-09,PSBB1
2020-04-10,PSBB1
2020-04-11,PSBB1
2020-04-12,PSBB1
2020-04-13,PSBB1
2020-04-14,PSBB1
2020-04-15,PSBB1
2020-04-16,PSBB1
2020-04-17,PSBB1
2020-04-18,PSBB1
2020-04-19,PSBB1
2020-04-20,PSBB1
2020-04-21,PSBB1
2020-04-22,PSBB1
2020-04-23,PSBB1
2020-04-24,PSBB2
2020-04-25,PSBB2
2020-04-26,PSBB2
2020-04-27,PSBB2
2020-04-28,PSBB2
2020-04-29,PSBB2
2020-04-30,PSBB2
2020-05-01,PSBB2
2020-05-02,PSBB2
2020-05-03,PSBB2
2020-05-04,PSBB2
2020-05-05,PSBB2
2020-05-06,PSBB2
2020-05-07,PSBB2
2020-05-08,PSBB2
2020-05-09,PSBB2
2020-05-10,PSBB2
2020-05-11,PSBB2
2020-05-12,PSBB2
2020-05-13,PSBB2
2020-05-14,PSBB2
2020-05-15,PSBB2
2020-05-16,PSBB2
2020-05-17,PSBB2
2020-05-18,PSBB2
2020-05-19,PSBB2
2020-05-20,PSBB2
2020-05-21,PSBB2
2020-05-22,PSBB3
2020-05-23,PSBB3
2020-05-24,PSBB3
2020-05-25,PSBB3
2020-05-26,PSBB3
2020-05-27,PSBB3
2020-05-28,PSBB3
2020-05-29,PSBB3
2020-05-30,PSBB3
2020-05-31,PSBB3
2020-06-01,PSBB3
2020-06-02,PSBB3
2020-06-03,PSBB3
2020-06-04,PSBB3
2020-06-05,PSBB Transisi
2020-06-06,PSBB Transisi
2020-06-07,PSBB Transisi
2020-06-08,PSBB Transisi
2020-06-09,PSBB Transisi
2020-06-10,PSBB Transisi
2020-06-11,PSBB Transisi
2020-06-12,PSBB Transisi
2020-06-13,PSBB Transisi
2020-06-14,PSBB Transisi
2020-06-15,PSBB Transisi
2020-06-16,PSBB Transisi
2020-06-17,PSBB Transisi
2020-06-18,PSBB Transisi
2020-06-19,PSBB Transisi
2020-06-20,PSBB Transisi
2020-06-21,PSBB Transisi
2020-06-22,PSBB Transisi
2020-06-23,PSBB Transisi
2020-06-24,PSBB Transisi
2020-06-25,PSBB Transisi
2020-06-26,PSBB Transisi
2020-06-27,PSBB Transisi
2020-06-28,PSBB Transisi
2020-06-29,PSBB Transisi
2020-06-30,PSBB Transisi
2020-07-01,PSBB Transisi
2020-07-02,PSBB Transisi
2020-07-03,PSBB Transisi Ext
2020-07-04,PSBB Transisi Ext
2020-07-05,PSBB Transisi Ext
2020-07-06,PSBB Transisi Ext
2020-07-07,PSBB Transisi Ext
2020-07-08,PSBB Transisi Ext
2020-07-09,PSBB Transisi Ext
2020-07-10,PSBB Transisi Ext
2020-07-11,PSBB Transisi Ext
2020-07-12,PSBB Transisi Ext
2020-07-13,PSBB Transisi Ext
2020-07-14,PSBB Transisi Ext
2020-07-15,PSBB Transisi Ext
2020-07-16,PSBB Transisi Ext
2020-07-17,PSBB Transisi Ext II
2020-07-18,PSBB Transisi Ext II
2020-07-19,PSBB Transisi Ext II
2020-07-20,PSBB Transisi Ext II
2020-07-21,PSBB Transisi Ext II
2020-07-22,PSBB Transisi Ext II
2020-07-23,PSBB Transisi Ext II
2020-07-24,PSBB Transisi Ext II
2020-07-25,PSBB Transisi Ext II
2020-07-26,PSBB Transisi Ext II
2020-07-27,PSBB Transisi Ext II
2020-07-28,PSBB Transisi Ext II
2020-07-29,PSBB Transisi Ext II
2020-07-30,PSBB Transisi Ext II
2020-07-31,PSBB Transisi Ext III
2020-08-01,PSBB Transisi Ext III
2020-08-02,PSBB Transisi Ext III
2020-08-03,PSBB Transisi Ext III
2020-08-04,PSBB Transisi Ext III
2020-08-05,PSBB Transisi Ext III
2020-08-06,PSBB Transisi Ext III
2020-08-07,PSBB Transisi Ext III
2020-08-08,PSBB Transisi Ext III
2020-08-09,PSBB Transisi Ext III
2020-08-10,PSBB Transisi Ext III
2020-08-11,PSBB Transisi Ext III
2020-08-12,PSBB Transisi Ext III
2020-08-13,PSBB Transisi Ext III
2020-08-14,PSBB Transisi Ext III
2020-08-15,PSBB Transisi Ext IV
2020-08-16,PSBB Transisi Ext IV
2020-08-17,PSBB Transisi Ext IV
2020-08-18,PSBB Transisi Ext IV
2020-08-19,PSBB Transisi Ext IV
2020-08-20,PSBB Transisi Ext IV
2020-08-21,PSBB Transisi Ext IV
2020-08-22,PSBB Transisi Ext IV
2020-08-23,PSBB Transisi Ext IV
2020-08-24,PSBB Transisi Ext IV
2020-08-25,PSBB Transisi Ext IV
2020-08-26,PSBB Transisi Ext IV
2020-08-27,PSBB Transisi Ext IV
2020-08-28,PSBB Transisi Ext V
2020-08-29,PSBB Transisi Ext V
2020-08-30,PSBB Transisi Ext V
2020-08-31,PSBB Transisi Ext V
2020-09-01,PSBB Transisi Ext V
2020-09-02,PSBB Transisi Ext V
2020-09-03,PSBB Transisi Ext V
2020-09-04,PSBB Transisi Ext V
2020-09-05,PSBB Transisi Ext V
2020-09-06,PSBB Transisi Ext V
2020-09-07,PSBB Transisi Ext V
2020-09-08,PSBB Transisi Ext V
2020-09-09,PSBB Transisi Ext V
2020-09-10,PSBB Transisi Ext V
2020-09-11,PSBB Transisi Ext V
2020-09-12,PSBB Transisi Ext V
2020-09-13,PSBB Transisi Ext V
2020-09-14,PSBB Strict
2020-09-15,PSBB Strict
2020-09-16,PSBB Strict
2020-09-17,PSBB Strict
2020-09-18,PSBB Strict
2020-09-19,PSBB Strict
2020-09-20,PSBB Strict
2020-09-21,PSBB Strict
2020-09-22,PSBB Strict
2020-09-23,PSBB Strict
2020-09-24,PSBB Strict
2020-09-25,PSBB Strict
2020-09-26,PSBB Strict
2020-09-27,PSBB Strict
2020-09-28,PSBB Strict
2020-09-29,PSBB Strict
2020-09-30,PSBB Strict
2020-10-01,PSBB Strict
2020-10-02,PSBB Strict
2020-10-03,PSBB Strict
2020-10-04,PSBB Strict
2020-10-05,PSBB Strict
2020-10-06,PSBB Strict
2020-10-07,PSBB Strict
2020-10-08,PSBB Strict
2020-10-09,PSBB Strict
2020-10-10,PSBB Strict
2020-10-11,PSBB Strict
2020-10-12,PSBB Transisi
2020-10-13,PSBB Transisi
2020-10-14,PSBB Transisi
2020-10-15,PSBB Transisi
2020-10-16,PSBB Transisi
2020-10-17,PSBB Transisi
2020-10-18,PSBB Transisi
2020-10-19,PSBB Transisi
2020-10-20,PSBB Transisi
2020-10-21,PSBB Transisi
2020-10-22,PSBB Transisi
2020-10-23,PSBB Transisi
2020-10-24,PSBB Transisi
2020-10-25,PSBB Transisi
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-20,
2021-02-21,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-02-27,
2021-02-28,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-06,
2021-03-07,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-13,
2021-03-14,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-20,
2021-03-21,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-27,
2021-03-28,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,
2021-04-06,
2021-04-07,
2021-04-08,
2021-04-09,
2021-04-10,
2021-04-11,
2021-04-12,
2021-04-13,
2021-04-14,
2021-04-15,
2021-04-16,
2021-04-17,
2021-04-18,
2021-04-19,
2021-04-20,
2021-04-21,
2021-04-22,
2021-04-23,
2021-04-24,
2021-04-25,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-01,
2021-05-02,
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-06,
2021-05-07,
2021-05-08,
2021-05-09,
2021-05-10,
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
