lag_ar,lag_ma,mse,rmse,mae
1.0,1.0,144.23752932472794,20804.464865701757,117.40108195844778
1.0,2.0,149.8162907901263,22444.92098611168,118.74440243523195
1.0,3.0,148.60582910829638,22083.69244496419,117.96769079105448
1.0,4.0,141.14120654655312,19920.84018541677,110.74466001103295
1.0,5.0,138.3742094237177,19147.421833638884,102.845354200151
1.0,6.0,131.2187711572143,17218.36590400937,99.00190774377302
1.0,7.0,127.93438826178357,16367.207699916786,98.92532651465288
2.0,1.0,152.66133198396463,23305.48228311826,121.32201746728124
2.0,2.0,148.93644150618,22182.06360852377,118.19829589449682
2.0,3.0,150.33887897411972,22601.77853119502,116.30620077951707
2.0,4.0,138.22534696474563,19106.24654352431,104.05992545725417
2.0,5.0,135.4707876664496,18352.334310968276,102.59176803463906
2.0,6.0,130.45701286565387,17019.032205829375,98.16644692693515
2.0,7.0,127.89362973509577,16356.780526817773,99.00808636051737
3.0,1.0,146.7266081762397,21528.69754690377,115.60214340022603
3.0,2.0,138.45235509246498,19169.054630650015,101.95409304884896
3.0,3.0,147.271657383117,21688.941068370197,115.21285984288538
3.0,4.0,145.2685366735758,21102.947747282036,113.07625923288124
3.0,5.0,138.12483363611577,19078.469667004658,106.18590419630752
3.0,6.0,125.8026478839538,15826.306214614064,95.05478155825323
3.0,7.0,127.80137129656829,16333.190505283308,95.59544456875838
4.0,1.0,145.88521954002502,21282.497280241296,113.52926657692758
4.0,2.0,145.99652997581128,21314.986764977963,112.45302389073807
4.0,3.0,145.41335476382685,21145.043743670565,116.64803023217087
4.0,4.0,131.7068519747208,17346.694857091014,107.98742598755689
4.0,5.0,128.28819946449866,16457.862121842994,96.69122085959408
4.0,6.0,131.40704225744827,17267.810754850794,95.26562795279617
4.0,7.0,127.41542971511555,16234.69172948755,91.41863508180649
5.0,1.0,144.66396612951212,20927.66309632063,110.4450921481678
5.0,2.0,145.73312172243374,21238.142766965684,111.82526892449445
5.0,3.0,148.27498958511202,21985.47253646508,119.32490184080936
5.0,4.0,137.79392025075998,18987.1644580728,100.73474421398477
5.0,5.0,125.38477858289954,15721.342700282743,97.2994331209797
5.0,6.0,129.8299515512955,16855.816319811733,98.85947222176428
5.0,7.0,132.3194866903946,17508.446558009513,101.87447931271785
6.0,1.0,134.31466431269774,18040.429049432678,101.25078056414624
6.0,2.0,125.52497284909019,15756.518808764831,94.22128866156203
6.0,3.0,143.15969541106733,20494.69839018957,107.26154806170693
6.0,4.0,134.52186745893547,18096.132824639404,101.96496294946722
6.0,5.0,130.45002257902348,17017.208390867738,101.84896141445884
6.0,6.0,140.9162043876576,19857.376659024085,102.68579867635067
6.0,7.0,126.70517658858712,16054.201774345045,100.36277562987549
7.0,1.0,126.94156043018307,16114.159764449822,98.54490917216296
7.0,2.0,125.9309718020539,15858.609659009697,92.99671094379501
7.0,3.0,122.65655952469866,15044.631594435947,91.7129963579733
7.0,4.0,119.02960021074806,14168.045726330514,88.20936869470556
7.0,5.0,121.68293924165403,14806.737702488066,96.02954102794591
7.0,6.0,156.17184956928543,24389.646597891515,115.10424558287312
7.0,7.0,126.65622264603212,16041.798734961261,100.16728229126633
